iter	Logloss
0	0.675571328
1	0.6590448121
2	0.6432861464
3	0.6282248984
4	0.6138562432
5	0.6001740364
6	0.5872388892
7	0.574863573
8	0.5630170168
9	0.5518334915
10	0.5411000404
11	0.5309838092
12	0.5212691558
13	0.5121035475
14	0.5033060957
15	0.4949914828
16	0.4870012299
17	0.4794782183
18	0.4723029762
19	0.4654864183
20	0.458994427
21	0.4527681209
22	0.4468029896
23	0.4411357692
24	0.4357781841
25	0.4306492134
26	0.4258147149
27	0.4211438713
28	0.4166752219
29	0.4124985977
30	0.4084758208
31	0.4045167185
32	0.4008551094
33	0.3973604959
34	0.3940788252
35	0.3909219079
36	0.3879388008
37	0.384998054
38	0.3821744136
39	0.379528247
40	0.3770228321
41	0.3746794332
42	0.37234598
43	0.370133455
44	0.3680403042
45	0.3660965336
46	0.3640936764
47	0.3623044758
48	0.3604675194
49	0.3586645277
50	0.3571357489
51	0.3555630342
52	0.3541445207
53	0.3527687275
54	0.3514209598
55	0.3502015524
56	0.3490424014
57	0.3479340936
58	0.3468357059
59	0.3456946851
60	0.3447321435
61	0.3438115496
62	0.3429322453
63	0.3420516354
64	0.3411583974
65	0.3401521923
66	0.3392261154
67	0.3385244967
68	0.3378375853
69	0.3371984711
70	0.3363458582
71	0.3355795075
72	0.3349877721
73	0.3343959966
74	0.3338693727
75	0.3332218076
76	0.3326002748
77	0.3321598073
78	0.3315783843
79	0.3310378908
80	0.3304639212
81	0.3299628204
82	0.3294609595
83	0.3290566274
84	0.3285617546
85	0.3281137496
86	0.3277018304
87	0.327311877
88	0.326947653
89	0.3265867467
90	0.3262616464
91	0.3259286766
92	0.3255982891
93	0.3253117891
94	0.3250167908
95	0.3247208193
96	0.3244086016
97	0.3241440255
98	0.3238990373
99	0.323663939
100	0.323485932
101	0.3232519232
102	0.3230095932
103	0.3228118746
104	0.3226194534
105	0.322409777
106	0.3222557945
107	0.3220712547
108	0.3218985888
109	0.3217397598
110	0.3216327512
111	0.321484568
112	0.3213950522
113	0.3212581487
114	0.3211050346
115	0.3209736296
116	0.3208142815
117	0.3206628688
118	0.3204932617
119	0.3203940995
120	0.3203028907
121	0.3201248415
122	0.3200199973
123	0.3198363441
124	0.3197351229
125	0.3196333022
126	0.3195403251
127	0.319424639
128	0.3193527795
129	0.3192847103
130	0.3192042339
131	0.3190829533
132	0.3189940333
133	0.318936969
134	0.3188811363
135	0.3187898111
136	0.3186859854
137	0.3186284235
138	0.3185224395
139	0.3184958114
140	0.3184248225
141	0.3183505511
142	0.3182599966
143	0.3181812204
144	0.3181165706
145	0.3180639766
146	0.3180036189
147	0.317911951
148	0.3178419464
149	0.317766199
150	0.3177072582
151	0.3176585571
152	0.3176079765
153	0.3175660566
154	0.3175143225
155	0.3174685961
156	0.3174034017
157	0.3173564856
158	0.3173136754
159	0.3172684629
160	0.3171953252
161	0.3171483761
162	0.3170802137
163	0.3170443572
164	0.3169965503
165	0.3169693644
166	0.3168918569
167	0.3168748306
168	0.3168119189
169	0.3167768356
170	0.3167172949
171	0.316664616
172	0.316600948
173	0.3165658922
174	0.3165285458
175	0.3164763047
176	0.3164281629
177	0.3164107054
178	0.3163569846
179	0.3163086714
180	0.3162668984
181	0.3162471982
182	0.3162216212
183	0.3161542426
184	0.3161323917
185	0.3161016713
186	0.3160636671
187	0.3160362881
188	0.3160082423
189	0.3159760039
190	0.3159180321
191	0.3159084259
192	0.3158838444
193	0.315832135
194	0.3157974671
195	0.3157390171
196	0.3157108526
197	0.3156767761
198	0.3156424436
199	0.315605428
200	0.3155802679
201	0.3155600425
202	0.3155312545
203	0.3155070227
204	0.3154843425
205	0.315468149
206	0.3154341349
207	0.3153932984
208	0.3153736012
209	0.3153316112
210	0.3153003163
211	0.3152769971
212	0.315255203
