iter	Passed	Remaining
0	457	457271
1	809	404079
2	1217	404679
3	1585	394751
4	2004	398890
5	2460	407634
6	2614	370904
7	2839	352056
8	3160	348032
9	3511	347652
10	3840	345291
11	4208	346463
12	4566	346712
13	4942	348126
14	5358	351894
15	5718	351700
16	6025	348419
17	6309	344217
18	6616	341616
19	6853	335811
20	7198	335568
21	7542	335290
22	7760	329634
23	7995	325166
24	8282	323002
25	8550	320312
26	8632	311096
27	8869	307902
28	9132	305765
29	9237	298672
30	9505	297107
31	9782	295920
32	9996	292926
33	10244	291073
34	10434	287704
35	10625	284519
36	10888	283402
37	11157	282450
38	11410	281160
39	11554	277297
40	11870	277643
41	11988	273454
42	12230	272198
43	12533	272312
44	12827	272238
45	13108	271866
46	13402	271765
47	13555	268850
48	13913	270033
49	14183	269478
50	14313	266341
51	14608	266319
52	14871	265731
53	15230	266820
54	15559	267347
55	15884	267767
56	16061	265714
57	16336	265323
58	16611	264939
59	16893	264657
60	17000	261693
61	17253	261021
62	17343	257947
63	17612	257579
64	17900	257491
65	18212	257732
66	18532	258074
67	18889	258896
68	19107	257810
69	19320	256693
70	19636	256937
71	19900	256497
72	20231	256915
73	20567	257370
74	20915	257958
75	21201	257764
76	21477	257446
77	21599	255315
78	21925	255614
79	22234	255694
80	22547	255818
81	22875	256095
82	23168	255975
83	23318	254277
84	23611	254168
85	23935	254381
86	24211	254082
87	24472	253626
88	24742	253258
89	24939	252167
90	25265	252377
91	25665	253303
92	25940	252992
93	26054	251125
94	26238	249960
95	26548	249995
96	26852	249980
97	27256	250870
98	27607	251255
99	27956	251606
100	28159	250648
101	28516	251055
102	28820	250992
103	29224	251778
104	29529	251701
105	29942	252531
106	30217	252190
107	30498	251895
108	30766	251496
109	31088	251537
110	31374	251281
111	31780	251970
112	31900	250401
113	32053	249121
114	32286	248463
115	32501	247681
116	32744	247124
117	33030	246888
118	33265	246275
119	33374	244749
120	33466	243115
121	33744	242852
122	33998	242415
123	34308	242373
124	34538	241771
125	34755	241084
126	34954	240276
127	35159	239523
128	35356	238724
129	35561	237990
130	35800	237487
131	36002	236746
132	36242	236254
133	36345	234889
134	36500	233874
135	36793	233746
136	36992	233026
137	37115	231835
138	37312	231125
139	37388	229672
140	37612	229140
141	37880	228881
142	38180	228815
143	38470	228686
144	38756	228527
145	39016	228218
146	39322	228179
147	39640	228200
148	39973	228307
149	40281	228260
150	40528	227869
151	40817	227719
152	41127	227678
153	41423	227558
154	41711	227392
155	42031	227399
156	42303	227144
157	42556	226786
158	42838	226583
159	43119	226379
160	43373	226025
161	43729	226207
162	44034	226117
163	44274	225694
164	44492	225159
165	44728	224722
166	45022	224570
167	45111	223410
168	45334	222918
169	45586	222567
170	45833	222200
171	46066	221762
172	46336	221502
173	46609	221261
174	46870	220960
175	47110	220563
176	47397	220384
177	47528	219484
178	47788	219186
179	48071	218993
180	48355	218802
181	48691	218843
182	49012	218813
183	49430	219213
184	49728	219076
185	50077	219157
186	50353	218918
187	50666	218838
188	50949	218626
189	51251	218495
190	51593	218527
191	51820	218076
192	52438	219263
193	52794	219341
194	53119	219286
195	53541	219628
196	53911	219750
197	54287	219891
198	54619	219850
199	54986	219947
200	55295	219806
201	55620	219726
202	55960	219707
203	56211	219334
204	56539	219263
205	56891	219281
206	57221	219209
207	57641	219479
208	58003	219525
209	58429	219804
210	59111	221036
211	59407	220817
212	59636	220347
